19,19,1,Melocotones,25505,30351
20,19,3,Manzanas,18108,21549
21,19,4,Pl치tanos,29681,35320
22,19,3,Lechuga,29788,35448
23,19,1,Tomates,12739,15159
24,19,1,Calabaza,21315,25365
25,19,2,Apio,19249,22906
26,19,2,Pepino,10958,13040
27,19,2,Champi침ones,11046,13145
28,19,5,Leche,21150,25169
29,19,5,Queso,26571,31619
30,19,2,Huevos,12445,14810
31,19,1,Reques칩n,14329,17052
32,19,1,Crema agria,14856,17679
33,19,5,Yogur,14941,17780
34,19,5,Ternera,29335,34909
35,19,5,Salm칩n salvaje,11878,14135
36,19,1,Patas de cangrejo,29951,35642